Delay -5C 15C 35C 55C
-4210.90352 -3.9e-05 6.3e-05 -4.2e-05 1.9e-05
-4209.90283 6.6e-05 -7.1e-05 2e-06 -5.2e-05
-4208.90214 2e-06 2.3e-05 4.4e-05 -2.4e-05
-4207.90145 3.3e-05 4.9e-05 8e-06 1.7e-05
-4206.90076 -0.000126 0.000138 -8.4e-05 -5e-06
-4205.90007 -2.7e-05 -6.8e-05 -0.000144 3.2e-05
-4204.89938 -0.000292 0.000141 5.3e-05 -4.6e-05
-4203.89869 -0.000102 -6.1e-05 1.8e-05 6.7e-05
-4202.898 -0.000117 4.9e-05 -7.4e-05 6.7e-05
-4201.89731 -1.2e-05 -6.2e-05 0.000116 0.000166
-4200.89662 -8.5e-05 0.000144 9e-05 5.2e-05
-4199.89593 -0.000162 -8.7e-05 -9.6e-05 4e-05
-4198.89524 -8.2e-05 8e-06 2.5e-05 -0.000189
-4197.89455 4.7e-05 -1.4e-05 -8.7e-05 0.000104
-4196.89386 -0.000113 1.5e-05 1.7e-05 5.4e-05
-4195.89317 -0.000256 0.000157 -0.000191 -2.8e-05
-4194.89248 -0.00014 -7.6e-05 -3.3e-05 1.5e-05
-4193.89179 -0.000179 -2.3e-05 -9.4e-05 8.5e-05
-4192.8911 -0.000111 -1.6e-05 -6.9e-05 1.9e-05
-4191.89041 -3.4e-05 4.8e-05 -0.000111 -0.000182
-4190.88972 4.8e-05 0.000204 3.5e-05 -1.7e-05
-4189.88903 2.8e-05 4.1e-05 9.1e-05 3.3e-05
-4188.88834 3.9e-05 2.6e-05 -5.7e-05 2.4e-05
-4187.88765 -8e-06 0.000176 -2e-06 0.000146
-4186.88696 -0.000214 -4e-06 4.8e-05 -4.6e-05
-4185.88627 -9e-05 -0.000164 2.7e-05 5.4e-05
-4184.88558 -6.3e-05 3.1e-05 9e-06 5.3e-05
-4183.88489 -2e-06 -1.8e-05 9e-05 0.00016
-4182.8842 -1e-05 7.2e-05 -0.000139 -0.000115
-4181.88351 5.4e-05 8.2e-05 -8.8e-05 7e-05
-4180.88282 -3.9e-05 6.7e-05 -8.2e-05 -0.000156
-4179.88213 -1.8e-05 -3.6e-05 1.2e-05 -2.6e-05
-4178.88144 7.5e-05 0.000203 0.000107 6.3e-05
