Delay -5C 15C 35C 55C 70C
-4359.00564 -0.000176 2.9e-05 5.1e-05 -5.7e-05 4.4e-05
-4358.00495 4.1e-05 5.4e-05 -6.1e-05 -9e-05 7e-06
-4357.00426 -0.000118 -4e-05 3.9e-05 5.5e-05 -2.6e-05
-4356.00357 2.9e-05 2.4e-05 -5.6e-05 -5.7e-05 -2.6e-05
-4355.00288 -2.9e-05 -1.8e-05 -7.4e-05 -5e-06 0.000107
-4354.00219 0.000124 1e-05 -0.000104 -1.2e-05 0.000107
-4353.0015 9e-05 -1.3e-05 -1.3e-05 -8.7e-05 6.7e-05
-4352.00081 1.2e-05 -2.3e-05 4.7e-05 5.7e-05 8e-06
-4351.00012 4e-06 -2.1e-05 -0.000142 7e-05 -5.6e-05
-4349.99943 0.000125 -2.1e-05 3.6e-05 -1.2e-05 -1.6e-05
-4348.99874 4.9e-05 -1.5e-05 2.9e-05 9e-05 3.4e-05
-4347.99805 -5.3e-05 -3e-05 -0.000103 1.9e-05 2.7e-05
-4346.99736 7.9e-05 -3.8e-05 -8e-05 8.7e-05 -4.7e-05
-4345.99667 -8.7e-05 0.00011 4e-06 -0.000129 0.000144
-4344.99598 0.000165 9.9e-05 -4.6e-05 -4.5e-05 5.6e-05
-4343.99529 -3.6e-05 7e-05 -4.4e-05 -4.8e-05 -2.2e-05
-4342.9946 4.1e-05 -8.6e-05 -3.6e-05 -6e-06 1e-05
-4341.99391 -8.6e-05 7e-05 8.3e-05 -2.2e-05 5.9e-05
-4340.99322 0.000203 2.7e-05 0.000101 2.2e-05 -5e-06
-4339.99253 -0.000135 2e-05 -3e-05 2.3e-05 0.000114
-4338.99184 0.000108 1.7e-05 -9.8e-05 2.8e-05 6.8e-05
-4337.99115 4.6e-05 -3.6e-05 3.4e-05 -0.000137 3.2e-05
-4336.99046 5.3e-05 -6.2e-05 5.2e-05 -2.3e-05 -1.3e-05
-4335.98977 6.7e-05 1.3e-05 -5.4e-05 1.6e-05 7.4e-05
-4334.98908 -2.5e-05 3.8e-05 8.8e-05 -1e-05 4.4e-05
-4333.98839 0.000139 -0.000106 -1.9e-05 6.6e-05 8e-05
