Wavenumber parallel perpendicular
43.80495 0.0958955926 0.0932790012
44.28708 0.1335689315 0.063469714
44.7692 0.1677017604 0.0329366928
45.25132 0.1840194997 0.01672785224
45.73345 0.1759868279 0.02146774124
46.21557 0.153072007 0.0289086556
46.69769 0.1237465007 0.0296471164
47.17982 0.0938839544 0.02370500792
47.66194 0.0681853077 0.01532996432
48.14407 0.047921007 0.01640819444
48.62619 0.03470515859 0.03099825168
49.10831 0.0274979976 0.0481366116
49.59044 0.01949999959 0.06292550132
50.07256 0.00809848592 0.07255237616
50.55469 -0.00404472756 0.07465003832
51.03681 -0.00606543493 0.06729580836
51.51894 0.01351475256 0.05032278328
52.00106 0.0420310868 0.02825531764
52.48318 0.0638665284 0.01205075256
52.96531 0.066203735 0.01808169484
53.44743 0.0562167542 0.02938838144
53.92956 0.0444990374 0.0348220488
54.41168 0.0441944113 0.03337771844
54.89381 0.059519429 0.0277985268
55.37593 0.0758689402 0.02301408868
55.85806 0.0790643336 0.0228129198
56.34018 0.0638581547 0.02816055836
56.8223 0.0338675409 0.0372934892
57.30443 0.00327991919 0.04659985132
57.78655 0.00637037549 0.05112728852
58.26868 0.02445735782 0.05157214656
58.7508 0.0325924532 0.0504567668
59.23293 0.0277942544 0.0490927052
59.71505 0.01256063912 0.04806566776
60.19717 -0.00881770149 0.04709831148
60.6793 -0.00825323561 0.04339601772
61.16142 0.01980815512 0.03601453812
61.64355 0.0446143154 0.0275691108
62.12567 0.0608029034 0.01969175736
62.6078 0.063868452 0.01571946156
63.08992 0.0528638192 0.01898082736
63.57204 0.03364968411 0.02813196056
64.05417 0.01599556599 0.04005336412
64.53629 0.00362600922 0.05400661816
65.01842 -0.01174276038 0.07154719616
65.50054 -0.03693788236 0.09411082912
65.98267 -0.04260250965 0.119001663
66.46479 -0.03224483924 0.14497168048
66.94691 -0.0270348044 0.1717688764
67.42904 -0.0306606226 0.198228118
67.91116 -0.0429808038 0.2238209864
68.39329 -0.0597552731 0.2482314472
68.87541 -0.0739128783 0.2708246816
69.35754 -0.0791225511 0.2908142908
69.83966 -0.0736795433 0.3079976152
70.32178 -0.0601212995 0.3230568528
70.80391 -0.0435769579 0.3373060372
71.28603 -0.0307242102 0.3523571216
71.76816 -0.0277478025 0.369952154
72.25028 -0.0379072245 0.391721198
72.73241 -0.0599148178 0.4183705416
73.21453 -0.0882291758 0.4486054056
73.69666 -0.1161119149 0.4789536268
74.17878 -0.1399734198 0.5050271336
74.6609 -0.1603922852 0.5232701584
75.14303 -0.1787555092 0.5320920704
75.62515 -0.1942970138 0.5321884216
76.10728 -0.20390190128 0.52620262816
76.5894 -0.20470437012 0.51799253264
77.07153 -0.19900785966 0.51183768152
77.55365 -0.1920603624 0.5112241728
78.03577 -0.1845866346 0.5176642592
78.5179 -0.1723117447 0.5306117124
79.00002 -0.1512666522 0.5481853344
79.48215 -0.1216366497 0.5679099404
79.96427 -0.0866368538 0.5871280536
80.4464 -0.0500036751 0.6033492652
80.92852 -0.0142875816 0.6146098552
81.41064 0.01964689 0.6197994
81.89277 0.051913297 0.618923624
82.37489 0.0824204859 0.6132685372
82.85702 0.1103261554 0.6053046472
83.33914 0.1345074597 0.5981572916
83.82127 0.1543972029 0.5946305772
84.30339 0.1704522177 0.5960921076
84.78551 0.184194971 0.601819856
85.26764 0.1981226325 0.609256846
85.74976 0.215380566 0.615083788
86.23189 0.238798887 0.616561572
86.71401 0.269422455 0.612575832
87.19614 0.305496137 0.60403376
87.67826 0.342776816 0.593504296
88.16039 0.37601578 0.584234112
88.64251 0.400768262 0.578864484
89.12463 0.414798304 0.578329444
89.60676 0.418671547 0.581463784
90.08888 0.415422065 0.585541396
90.57101 0.409433912 0.58750032
91.05313 0.40494812 0.585255704
91.53526 0.404778653 0.578522428
92.01738 0.409722367 0.568821792
92.4995 0.418851517 0.558683136
92.98162 0.430426787 0.550405152
93.46375 0.442862593 0.544991876
93.94587 0.455214438 0.541817012
94.42799 0.467024962 0.539155672
94.91012 0.477800979 0.535243764
95.39224 0.486546677 0.529324708
95.87437 0.491702091 0.522219456
96.35649 0.491590477 0.516155332
96.83862 0.485250627 0.513848456
97.32074 0.473304923 0.517171116
97.80286 0.458366929 0.526044992
98.28499 0.444596465 0.538179136
98.76711 0.436412319 0.549829764
99.24924 0.436870232 0.55721446
99.73136 0.44645777 0.55796532
100.2135 0.462897744 0.552044768
100.6956 0.482051454 0.54177354
101.1777 0.499508839 0.530952092
101.6599 0.512174046 0.523419028
102.142 0.519197088 0.521619648
102.6241 0.521843287 0.525769904
103.1062 0.522404269 0.533906648
103.5884 0.522784269 0.542730584
104.0705 0.523646529 0.548778032
104.5526 0.524603233 0.549401028
105.0347 0.525178245 0.543211152
105.5169 0.525743828 0.529990296
105.999 0.527712337 0.5103428
106.4811 0.532794867 0.48539964
106.9632 0.541784088 0.456756212
107.4454 0.553675475 0.426585236
107.9275 0.565733052 0.39772326
108.4096 0.574502392 0.373499412
108.8917 0.577218244 0.357175016
109.3738 0.572968744 0.3510386
109.856 0.563112431 0.355439744
110.3381 0.550717978 0.368241324
110.8202 0.539221804 0.385093148
111.3023 0.530974748 0.40056522
111.7845 0.526464431 0.40975374
112.2666 0.524532715 0.409754224
112.7487 0.523253801 0.400460984
113.2308 0.520856485 0.384424744
113.713 0.516258057 0.365884332
114.1951 0.509119106 0.349392472
114.6772 0.499591178 0.338511316
115.1593 0.488003275 0.334907474
115.6415 0.474638226 0.3380526248
116.1236 0.459695055 0.345633024
116.6057 0.44354071 0.35445564
117.0878 0.427199517 0.361312204
