5 Hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
-0.164, -3.187e-7, -5.163e-6, -4.845e-6
-0.168, -3.162e-7, -5.136e-6, -4.820e-6
-0.172, -3.147e-7, -5.111e-6, -4.796e-6
-0.176, -3.113e-7, -5.087e-6, -4.776e-6
-0.180, -3.054e-7, -5.064e-6, -4.758e-6
-0.184, -3.018e-7, -5.041e-6, -4.740e-6
-0.188, -3.044e-7, -5.022e-6, -4.717e-6
-0.192, -3.105e-7, -5.004e-6, -4.694e-6
-0.196, -3.208e-7, -4.988e-6, -4.668e-6
-0.200, -3.355e-7, -4.975e-6, -4.639e-6
