File: krzywa kalibracyjna swv - 100hz - próbka
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
-0.140, -6.109e-6, -9.642e-5, -9.031e-5
-0.144, -6.057e-6, -9.576e-5, -8.970e-5
-0.148, -5.991e-6, -9.512e-5, -8.913e-5
-0.152, -5.960e-6, -9.450e-5, -8.854e-5
-0.156, -5.901e-6, -9.388e-5, -8.798e-5
-0.160, -5.870e-6, -9.328e-5, -8.741e-5
-0.164, -5.817e-6, -9.270e-5, -8.689e-5
-0.168, -5.791e-6, -9.213e-5, -8.634e-5
-0.172, -5.746e-6, -9.158e-5, -8.583e-5
-0.176, -5.736e-6, -9.103e-5, -8.530e-5
-0.180, -5.705e-6, -9.050e-5, -8.480e-5
-0.184, -5.705e-6, -8.999e-5, -8.428e-5
-0.188, -5.683e-6, -8.948e-5, -8.380e-5
-0.192, -5.680e-6, -8.898e-5, -8.330e-5
-0.196, -5.685e-6, -8.850e-5, -8.281e-5
-0.200, -5.698e-6, -8.803e-5, -8.233e-5
