Mar. 30, 2023   17:14:41
Cyclic Voltammetry
File: ref20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Potential/V, Current/A, Charge/C

Segment 1:
-0.055, -1.396e-7, -1.141e-6
-0.056, -1.404e-7, -1.148e-6
-0.057, -1.407e-7, -1.155e-6
-0.058, -1.409e-7, -1.162e-6
-0.059, -1.418e-7, -1.169e-6
-0.060, -1.420e-7, -1.176e-6
-0.061, -1.429e-7, -1.183e-6
-0.062, -1.438e-7, -1.190e-6
-0.063, -1.447e-7, -1.197e-6
-0.064, -1.453e-7, -1.205e-6
-0.065, -1.456e-7, -1.212e-6
-0.066, -1.458e-7, -1.219e-6
-0.067, -1.468e-7, -1.227e-6
-0.068, -1.469e-7, -1.234e-6
-0.069, -1.480e-7, -1.241e-6
-0.070, -1.493e-7, -1.249e-6
-0.071, -1.494e-7, -1.256e-6
-0.072, -1.503e-7, -1.264e-6
-0.073, -1.508e-7, -1.271e-6
-0.074, -1.514e-7, -1.279e-6
-0.075, -1.522e-7, -1.286e-6
-0.076, -1.536e-7, -1.294e-6
-0.077, -1.541e-7, -1.302e-6
-0.078, -1.550e-7, -1.310e-6
-0.079, -1.553e-7, -1.317e-6
-0.080, -1.558e-7, -1.325e-6
-0.081, -1.565e-7, -1.333e-6
-0.082, -1.567e-7, -1.341e-6
-0.083, -1.584e-7, -1.349e-6
-0.084, -1.592e-7, -1.357e-6
-0.085, -1.596e-7, -1.365e-6
-0.086, -1.604e-7, -1.373e-6
-0.087, -1.608e-7, -1.381e-6
-0.088, -1.612e-7, -1.389e-6
-0.089, -1.627e-7, -1.397e-6
-0.090, -1.639e-7, -1.405e-6
-0.091, -1.643e-7, -1.413e-6
-0.092, -1.651e-7, -1.422e-6
-0.093, -1.655e-7, -1.430e-6
-0.094, -1.659e-7, -1.438e-6
-0.095, -1.674e-7, -1.447e-6
-0.096, -1.682e-7, -1.455e-6
-0.097, -1.691e-7, -1.463e-6
-0.098, -1.700e-7, -1.472e-6
-0.099, -1.704e-7, -1.480e-6
-0.100, -1.713e-7, -1.489e-6
-0.101, -1.722e-7, -1.498e-6
-0.102, -1.739e-7, -1.506e-6
-0.103, -1.744e-7, -1.515e-6
-0.104, -1.750e-7, -1.524e-6
-0.105, -1.757e-7, -1.533e-6
-0.106, -1.763e-7, -1.541e-6
-0.107, -1.774e-7, -1.550e-6
-0.108, -1.791e-7, -1.559e-6
-0.109, -1.796e-7, -1.568e-6
-0.110, -1.801e-7, -1.577e-6
-0.111, -1.812e-7, -1.586e-6
-0.112, -1.823e-7, -1.595e-6
